"rank","title","department","location","work_arrangement","salary","url","total_score","classification","strategy_ops_score","ai_technical_score","customer_implementation_score","systems_building_score","experience_fit_score","executive_exposure_score","location_score","penalties","penalty_reasons","why_it_fits","main_concern","recommended_action","gap","story_emphasis","tailor_resume","contact_team","strategy_ops_reason","ai_technical_reason","customer_implementation_reason","systems_building_reason","experience_fit_reason","executive_exposure_reason","location_reason","description_snippet"
"1","Senior Manager, GTM Sales Engineer & AI solutions","Sales","","Remote","Not listed","https://careers.toasttab.com/jobs/senior-manager-gtm-sales-engineer-ai-solutions","94","Strong Fit","20","20","20","15","9","5","5","0","No penalties","Top in strategy ops (20/20). Strategy/ops signals: 20/20 pts","None significant","Apply directly","None significant","AI product builder + automation story","Yes — lead with technical skills, API work, AI tools","Yes, reach out","Strategy/ops signals: 20/20 pts","AI/technical signals: 20/20 pts","Customer/implementation: 20/20 pts","Systems-building: 15/15 pts","Senior manager — well aligned, 9/10","Executive/cross-functional: 5/10 pts","Remote — 5/5 pts","Senior Manager, GTM Sales Engineer & AI solutions
 R14650
 Remote
 ADD TO FAVORITES
 VIEW FAVORITES

Toast creates technology to help restaurants and local businesses succeed in a digital world, helping business owners operate, increase sales, engage customers, and keep employees happy.

Retail is T"
"2","Principal Product Manager, Configuration Platform","Product","Remote, United States","Remote","Not listed","https://careers.toasttab.com/jobs/principal-product-manager-configuration-platform-remote-united-states","81","Strong Fit","20","18","11","15","9","3","5","0","No penalties","Top in strategy ops (20/20). Strategy/ops signals: 20/20 pts","None significant","Apply directly","Strengthen executive exposure signal","AI systems building + cross-functional execution story","Yes — lead with leadership, scale, cross-functional","Yes, reach out","Strategy/ops signals: 20/20 pts","AI/technical signals: 18/20 pts","Customer/implementation: 11/20 pts","Systems-building: 15/15 pts","Senior manager — well aligned, 9/10","Executive/cross-functional: 3/10 pts","Remote — 5/5 pts","Principal Product Manager, Configuration Platform
 R14019
 Remote
 Remote, United States
 Product & Design
 ADD TO FAVORITES
 VIEW FAVORITES

Toast creates technology to help restaurants and local businesses succeed in a digital world, helping business owners operate, increase sales, engage customer"
"3","Principal Product Manager, Kitchen Technology & Innovation","Product","Remote, United States","Remote","Not listed","https://careers.toasttab.com/jobs/principal-product-manager-kitchen-technology-innovation-remote-united-states","77","Worth Applying","20","15","7","12","9","9","5","0","No penalties","Top in strategy ops (20/20). Strategy/ops signals: 20/20 pts","None significant","Apply directly","Strengthen customer implementation signal","AI systems building + cross-functional execution story","Yes — lead with leadership, scale, cross-functional","Yes, reach out","Strategy/ops signals: 20/20 pts","AI/technical signals: 15/20 pts","Customer/implementation: 7/20 pts","Systems-building: 12/15 pts","Senior manager — well aligned, 9/10","Executive/cross-functional: 9/10 pts","Remote — 5/5 pts","Principal Product Manager, Kitchen Technology & Innovation
 R14514
 Remote
 Remote, United States
 Product & Design
 ADD TO FAVORITES
 VIEW FAVORITES

Location: Boston Preferred 

Toast creates technology to help restaurants and local businesses succeed in a digital world, helping business owners op"
"4","GTM Engineer - Sales Workflow Automation, Revenue Intelligence","Sales","Remote, United States","Remote","Not listed","https://careers.toasttab.com/jobs/gtm-engineer-sales-workflow-automation-revenue-intelligence-remote-united-states","77","Worth Applying","19","20","11","13","7","2","5","0","No penalties","Top in ai technical (20/20). AI/technical signals: 20/20 pts","None significant","Apply directly","Strengthen executive exposure signal","Operational strategy + AI-powered systems story","Yes — lead with technical skills, API work, AI tools","Yes, reach out","Strategy/ops signals: 19/20 pts","AI/technical signals: 20/20 pts","Customer/implementation: 11/20 pts","Systems-building: 13/15 pts","Mid-level — adequate, 7/10","Executive/cross-functional: 2/10 pts","Remote — 5/5 pts","GTM Engineer - Sales Workflow Automation, Revenue Intelligence
 R14466
 Remote
 Remote, United States
 ADD TO FAVORITES
 VIEW FAVORITES

Toast creates technology to help restaurants and local businesses succeed in a digital world, helping business owners operate, increase sales, engage customers, an"
"5","Staff Data Scientist","Engineering","Remote, United States","Remote","Not listed","https://careers.toasttab.com/jobs/staff-data-scientist-remote-united-states-ef126d57-546c-4f3d-8a07-d31c4842e034","77","Worth Applying","18","20","9","10","9","6","5","0","No penalties","Top in ai technical (20/20). AI/technical signals: 20/20 pts","None significant","Apply directly","None significant","AI product builder + automation story","Standard resume likely sufficient","Yes, reach out","Strategy/ops signals: 18/20 pts","AI/technical signals: 20/20 pts","Customer/implementation: 9/20 pts","Systems-building: 10/15 pts","Senior IC — good fit, 9/10","Executive/cross-functional: 6/10 pts","Remote — 5/5 pts","Staff Data Scientist
 R14649
 Remote
 Remote, United States
 Engineering
 ADD TO FAVORITES
 VIEW FAVORITES

Toast creates technology to help restaurants and local businesses succeed in a digital world, helping business owners operate, increase sales, engage customers, and keep employees happy.

As a"
"6","Principal Technical Program Manager, Toast IQ","Engineering","Remote, United States","Remote","Not listed","https://careers.toasttab.com/jobs/principal-technical-program-manager-toast-iq-remote-united-states","65","Stretch","11","14","4","14","9","8","5","0","No penalties","Top in ai technical (14/20). AI/technical signals: 14/20 pts","None significant","Apply with tailored resume; contact team","Strengthen customer implementation signal","AI systems building + cross-functional execution story","Yes — lead with technical skills, API work, AI tools","Optional","Strategy/ops signals: 11/20 pts","AI/technical signals: 14/20 pts","Customer/implementation: 4/20 pts","Systems-building: 14/15 pts","Senior manager — well aligned, 9/10","Executive/cross-functional: 8/10 pts","Remote — 5/5 pts","Principal Technical Program Manager, Toast IQ
 R14741
 Remote
 Remote, United States
 Product & Design
 ADD TO FAVORITES
 VIEW FAVORITES

Toast creates technology to help restaurants and local businesses succeed in a digital world, helping business owners operate, increase sales, engage customers, a"
"7","(Mandarin) Sr. Customer Success Manager I, SMB - On Demand, MLO","Customer Success","Remote, United States","Remote","Not listed","https://careers.toasttab.com/jobs/mandarin-sr-customer-success-manager-i-smb-on-demand-mlo-remote-united-states","64","Stretch","13","13","9","10","9","5","5","0","No penalties","Top in strategy ops (13/20). Strategy/ops signals: 13/20 pts","None significant","Apply with tailored resume; contact team","None significant","Operational deployment + customer transformation story","Yes — lead with leadership, scale, cross-functional","Optional","Strategy/ops signals: 13/20 pts","AI/technical signals: 13/20 pts","Customer/implementation: 9/20 pts","Systems-building: 10/15 pts","Senior manager — well aligned, 9/10","Executive/cross-functional: 5/10 pts","Remote — 5/5 pts","(Mandarin) Sr. Customer Success Manager I, SMB - On Demand, MLO
 R14780
 Remote
 Remote, United States
 Customer Success
 ADD TO FAVORITES
 VIEW FAVORITES

Toast creates technology to help restaurants and local businesses succeed in a digital world, helping business owners operate, increase sales, e"
"8","Principal Product Designer, Toast IQ Core (AI Product Team)","Design","Remote, United States","Remote","Not listed","https://careers.toasttab.com/jobs/principal-product-designer-toast-iq-core-ai-product-team-remote-united-states","62","Stretch","8","16","6","14","9","4","5","0","No penalties","Top in ai technical (16/20). AI/technical signals: 16/20 pts","None significant","Apply with tailored resume; contact team","Strengthen customer implementation signal","AI systems building + cross-functional execution story","Standard resume likely sufficient","Optional","Strategy/ops signals: 8/20 pts","AI/technical signals: 16/20 pts","Customer/implementation: 6/20 pts","Systems-building: 14/15 pts","Senior IC — good fit, 9/10","Executive/cross-functional: 4/10 pts","Remote — 5/5 pts","Principal Product Designer, Toast IQ Core (AI Product Team)
 R14400
 Remote
 Remote, United States
 ADD TO FAVORITES
 VIEW FAVORITES

About Toast

Our focus is on building the platform that helps restaurants adapt, take control, and get back to what they do best: building the businesses they love. A"
"9","Senior Product Manager, Toast Now","Product","Remote, United States","Remote","Not listed","https://careers.toasttab.com/jobs/senior-product-manager-toast-now-remote-united-states","58","Stretch","8","9","7","15","9","5","5","0","No penalties","Top in systems building (15/20). Systems-building: 15/15 pts","None significant","Apply with tailored resume; contact team","Strengthen customer implementation signal","AI systems building + cross-functional execution story","Yes — lead with leadership, scale, cross-functional","Optional","Strategy/ops signals: 8/20 pts","AI/technical signals: 9/20 pts","Customer/implementation: 7/20 pts","Systems-building: 15/15 pts","Senior manager — well aligned, 9/10","Executive/cross-functional: 5/10 pts","Remote — 5/5 pts","Senior Product Manager, Toast Now
 R14539
 Remote
 Remote, United States
 Product & Design
 ADD TO FAVORITES
 VIEW FAVORITES

Toast creates technology to help restaurants and local businesses succeed in a digital world, helping business owners operate, increase sales, engage customers, and keep empl"
"10","Customer Success Manager II, SMB - Dedicated","Customer Success","North Carolina, United States","","Not listed","https://careers.toasttab.com/jobs/customer-success-manager-ii-smb-dedicated-north-carolina-united-states","58","Stretch","10","12","13","10","5","6","4","2","Role may be too junior","Top in customer implementation (13/20). Customer/implementation: 13/20 pts","Role may be too junior","Apply with tailored resume; contact team","Role may be too junior","Operational deployment + customer transformation story","Yes — lead with leadership, scale, cross-functional","Optional","Strategy/ops signals: 10/20 pts","AI/technical signals: 12/20 pts","Customer/implementation: 13/20 pts","Systems-building: 10/15 pts","Entry-level — may be too junior, 5/10","Executive/cross-functional: 6/10 pts","US-based — 4/5 pts","Customer Success Manager II, SMB - Dedicated
 R14834
 North Carolina, United States
 Customer Success
 ADD TO FAVORITES
 VIEW FAVORITES

Customer Success Manager II - SMB Dedicated

*Must be located in North Carolina*

Toast is driven by building the restaurant platform that helps restaurants adapt,"
